Song ID,Song Name,Day,Month,Year,Playlist ID
spotify:track:1DQMdY5podqawS2w4WJdwj,Aleph,30,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:2UieOcTk0Kl4bzLVBW4oVj,No Confío,30,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:59L8x0xy8njj75vzVCPMqg,FULANITO,30,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:7M0mBls29IohQIPGqegcyE,como si no importara,30,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:4LUzWf03uKUeEKvo6FbhV0,UN PASO,30,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:3xRuYQbEK2CkEre89k5jDY,ROPA CARA,30,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:2jiGBz8zHMvfKCWXI1WBmb,Esto Recién Empieza,30,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:0wDjuXaTy4MVdFOy65Gz9H,DOLCE,30,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:1uaeUpiNMxfsuhVebgk7TX,Superclásico,29,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:4ovp1Q6WURMBWgw3cOHbxz,Bakanisimo,29,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:2WrqTrNIHqfcMCgmEo0A7E,FRIKI,29,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:5q2JbCNi4FcnglgPfxcV65,Sola (Remix),29,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:2FqoR7diymD1Eh7cVb3DMg,Algo Me Gusta De Ti,29,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:67jvGGbJmOmVonlyX3mNkV,Caramelo - Remix,29,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:25EpqnbVRzegM4RxXlHhDW,TU AMIGO,29,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:4ijX6zDZKYdgACPwva2y0d,Escápate Conmigo - Remix,29,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:29DJN0aQmjeLXFg2Djurim,Celosa,29,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:2IzV2SPZQLadtA46ni3ICq,Berlin,29,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:1c0hsvHLELX6y8qymnpLKL,Soltera (Remix),28,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:3V8UKqhEK5zBkBb6d6ub8i,Te Boté - Remix,28,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:37F0uwRSrdzkBiuj0D5UHI,Reminder,28,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:3V6yulhPA5muP4eBuYl3Gd,Has To Be (new wave),28,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:71PQ5HbyifooqoPMDd0UdF,Letting Go,28,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:13esL0WpgnvAE4TdPrbNhu,La Funda,27,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:0FyVRToEEptBmuTH9ULuK1,Se Rebeló,27,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:0UTqbl5ncpLjW23CDq1Hn7,2 Pa 1 - Remix,27,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:1Sl3njkhhz8nrSPZroDQ82,Complicated (feat. Kiiara),27,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,Complicated,27,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:7x5xYW5W42OGPAdHUyyguy,Locked Away (feat. Adam Levine),26,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:2txThRlUG46O4oLvnWLslz,HARDY BOYS,26,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:4kn4Hh4AXXYqAMsQpye4HI,Eléctrica,26,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:7t2bFihaDvhIrd2gn2CWJO,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",26,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:7wNFrD5XDMNZBbmVmBZtUx,Burn (with damnboy!),26,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:31jtlGwefCdtqNOSpLq82U,Polaris,26,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:7Kf6WE45fNBoyRkAuQKfrA,Si Te Sentis Sola,26,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:0UkTJlrCK5fc2VcKbZPhAK,Get Your Game On!,26,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:1vmuE6VribwzBEEjKnrnjJ,-OZONE-,26,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:7EVk9tRb6beJLTHrg6AkY9,Tuesday (feat. Danelle Sandoval),26,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:3hQARI8XG01UawaCalyfjK,No Estuviste En Lo Malo,25,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:2AY1UAimvTqjJC8vDJsOyy,Mayores,25,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:3pDhN3qB33AOPhQEkUCaWt,Limbo,25,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:59PYgzOiOjGDzjDT5N5oOX,Asesina - Remix,25,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:0DU150UuvrIsqOzAoeB2Zv,Vibra,25,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:4UlkRoC6xPCDXehTyW21BF,Vai Sentando,25,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:2jQeX1fMZo5z82w3BviN5x,La Boda,25,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:0Q2vACF3qaWlimFZ5MS4ga,ONCE:ONCE - REMIX BONUX TRACK,25,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:32GJwnOAMvlZxgG7EhhMvo,Noctis,24,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:5u7twkeask1VIyDeNTElSU,Sal y Perrea,24,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:7MmVXDISr1AEsJTjNiAlMG,Pose,24,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:7eyyHJ0ToQuuwbIubzBZqI,dime que si,24,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:0mvt6HlXUdDrrXuhnkfqNF,Soltarnos,24,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:7bwYP6YurZ1MaRQAPVeZsu,último día en el cielo,24,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:3SgKzvkNojXk1l9nIRzqky,No soy de aquí,24,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:1yfUatJAVvmmZh5sJyW3Re,Un día como hoy,24,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:6hXhW3R0a75npc85LuVAAA,4tDeso,24,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:16lZ8dHW4WXdfu0t4TQ0QJ,Orilladelmar,24,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:1s3mjJnz5zFrXjqEYWrJlJ,la marea nunca te la va a devolver,24,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:3nQbCPy1vMFtXb4XEpOmgC,Demaga Ge Gi Go Gu (feat. Bad Bunny),23,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:7kOf0qHO4Rcwk6QJifZDRJ,El Manual,23,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:7x3DmVAK13eKmgWOdtQ6d3,Si No Te Quiere - Remix,23,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:5wMxXn08lUHAqtQ1oS5YtM,Titubeo,23,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:2suE76uvhA05ks3YbvwRGT,No Sales de Mi Mente (feat. Nicky Jam),23,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:0X5jHsNHshuHNfAWs1sxQ5,Permitame,23,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:4za7UzHuKvr84o8h9CxqV1,2 Hielos,23,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:5hHzqkPU6TQxWtV2cJqsMp,MI EXXX,23,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:5tCWZXTFstxYy1BoF7q6J6,No Bailo Pa Ti,23,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:6c32C8T3KlXrbvWSoD5aON,EXPERIMENTO,23,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:3SK45LddxlEkzI8OWO9Eyo,Ingobernable,23,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:1XXofXTUbsLgjfZru0w1qv,Cinturita - Remix,22,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:57JRZbE80MLsYbmb24cPee,Bad Apple!! feat.nomico,22,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:6qraVL4IJaIj0IuEexYJNa,Explícito,22,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:5iaGRmDzm4aPhttaOEK8OD,Donde?,22,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:3FhiU60cxfN2j4jRy5Y40w,Lloras - Remix,22,5,2023,6AxzBHuX5zw52r4u6M1CNM
spotify:track:6Q13WLTgIALTJogRckCVSp,Friends Don’t Keep Secrets,22,5,2023,6AxzBHuX5zw52r4u6M1CNM
