Song ID,Song Name,Day,Month,Year,Playlist ID
spotify:track:1GbjeayLZuGHgwU1ss6rPq,Blow Her Back Out,9,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:1KALUbjXvefSgNhTYJHZZt,Si Tu Te Vas,8,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:4Dl99WTsasYQ9ethQQiDAu,"Si Nos Decimos Adiós, Que Sea Bailando",8,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:5HY6wvH4sD3t7LOqGBOOSE,Too Much,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:5yEf0j1YibjIrf3GixzIcZ,Driving Me Crazy - Extended Mix,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:011PVRCQiiPutMbjMzjN2t,One Night Away - JLV Remix,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:5gYZf46mLaTi6QNjrqrNR0,Nothing Looks Better Than You,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:3nY7D5Gkozq2KgHGNw1lDm,Rotations,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:00i2HU7TEzzftShjRrDSEF,Changes,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:6FveHRXs0gcTE9GzFjnq6R,Angelina,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:30LyNzKtSteS5DNDp1iuuy,TIFFANYS,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:1BpKJw4RZxaFB88NE5uxXf,ILoveUIHateU,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:5Kyh9MKS2E9SfgLQTHslwa,Estación los Alpes,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:6rZNDWPFxpmbBhjm4RwpUB,G.O.D.,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:5VKK2diddSgyNnCKltBfyv,Oye,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:7E8gROr7cN79wbxZ4yqL8Z,pikito,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:5l84HED5g88HGP4ZVVpweK,End Up Dead,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:4S4uMPTRs65ERceoFwiTAt,Not how it seems,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:7naUzjWKltQuotEfvc7nt1,Desaparece,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:4QTChQgglTtr0S5Q3r68iG,AVeraGe Life,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:1zagrZv5nnVunABwivZCte,Ke Sientes,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:4XhSbQdyDPtwo6uCSkpWz1,Tell Me Where To Go,7,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:7rvyVWja33WG9R97oeJAjx,Envy Me,6,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:2Z3yoeQOnvJsxQguSsyKQP,Klose,6,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:3oIChlHbd89Yq6dubP1o7O,Sin perdón,6,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:5faz5WYRJdRDiCa42DSgHR,Route 66 (feat. EST Gee),6,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:0fIffclhgJC5h8AdMMVvkp,Welcome To The Party,6,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:1Emg2PWprZxWACEgw3Rn0J,RUMBLE,6,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:3weQJ91hq42cNqUGsjXA07,3 K's (We On That Same Shit),6,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:4XlyD28tQ6qdqNS2BkE1AF,Ranada,6,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:6ZCFGDJ1yJf3VeTeJ1Y1cZ,Possibility,6,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:2OcSE0EXzgUuqkM1NIJPHJ,Wasting Angels (with The Kid LAROI),6,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:6Sb0LOY226ou0GndI5eiif,Love Is Gone,6,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:6RCET3cus4uP5eX9zIpeOb,Nowhere 2 Run,6,6,2022,3m5KFw0gTRaD24H6bGhMfI
spotify:track:7FHvE7vpyQKK0NiULTxs0b,"Si Mañana Me Muero (feat. Pablo Chill-E, Julianno Sosa, Drago200, Harry Nach, Uzii Gaang & Khaled)",5,6,2022,3m5KFw0gTRaD24H6bGhMfI
