Song ID,Song Name,Day,Month,Year,Playlist ID
spotify:track:4MUtM58geV6B2NGv8ckspv,Avemaría,31,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:6NSMQFKgjpQb0KkjMDYIK0,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),31,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:3oNnzH6hmqIGIhJ1NcHlrh,CORAZÓN VACÍO,31,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:5y3M0g9NeTe4YKc0uBvVX1,Heartbeat,31,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:2U8NXPTXZWG2O0ye2sYRiH,I Love It (feat. Charli XCX),31,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:0iK5pdqSpSx7v59WZqTBmr,Somos Iguales,30,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:7k4t7uLgtOxPwTpFmtJNTY,Tusa,30,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:2p9iGnFlpJ3HoO7croTATl,No Quiero Amarte (feat. Zion & Lennox),30,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:0EhuGnOS6fTc5l5UNtDEH2,POLARIS - Remix,30,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:3XucsgiwXb8KPn9Csf9Zmu,Ferrari - Remix,29,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:4kdGp4HDLV1LpIAmVYul6c,Guarda Tus Lágrimas,28,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:0LQsM0KYkSyCdN6TCo63vp,"Fronteamos Porque Podemos (feat. Daddy Yankee, Yandel & Nengo Flow)",28,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:1jD48pmiHMSVHHPzKLi4P3,Tu Eres Ajena,28,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:7LFNVbFQGY1T3fekzMLziQ,Jungle,27,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:6FZDfxM3a3UCqtzo5pxSLZ,Without Me,27,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:0QQIhT6PtJ5glyn4HKNKQ6,All the Pretty Girls,27,8,2023,73G3k8pcNvlxT9gujzJRbX
spotify:track:5tf1VVWniHgryyumXyJM7w,Sugar (feat. Francesco Yates),27,8,2023,73G3k8pcNvlxT9gujzJRbX
